#stable_id	start	end	strand	biotype	description
MRA_0152	172574	173527	1	protein_coding	hypothetical protein
MRA_0153	173570	174502	1	protein_coding	hypothetical protein
MRA_0154	174597	176117	1	protein_coding	putative aldehyde dehydrogenase (NAD+) dependent
MRA_0155	176192	177052	1	protein_coding	putative short-chain type dehydrogenase/reductase
MRA_0156	177059	178027	1	protein_coding	putative quinone oxidoreductase
MRA_0157	178024	178311	-1	protein_coding	hypothetical protein
MRA_0158	178903	180669	-1	protein_coding	PE family protein
MRA_0159	180679	182256	-1	protein_coding	PE family protein
MRA_0161	182515	183345	-1	protein_coding	phosphotyrosine protein phosphatase PtpB
MRA_0162	183347	184558	-1	protein_coding	acyl-CoA dehydrogenase FadE2
MRA_0163	184982	186082	1	protein_coding	putative NAD(P) transhydrogenase subunit alpha PntAa
MRA_0164	186083	186415	1	protein_coding	putative NAD(P) transhydrogenase subunit alpha PntAb
MRA_0165	186412	187839	1	protein_coding	NAD(P) transhydrogenase subunit beta
MRA_0166	188145	188789	1	protein_coding	TetR-family transcriptional regulator
MRA_0167	188793	190199	-1	protein_coding	PE family protein
MRA_0168	190291	191799	-1	protein_coding	PE family protein
MRA_0169	191967	193316	1	protein_coding	putative oxidoreductase
MRA_0170	193344	194495	-1	protein_coding	zinc-type alcohol dehydrogenase subunit E
MRA_0171	194477	194932	1	protein_coding	hypothetical protein
MRA_0172	194986	195471	1	protein_coding	hypothetical protein
MRA_0173	195504	196298	-1	protein_coding	putative marr-family transcriptional regulatory protein
MRA_0174	196353	198017	1	protein_coding	fatty-acid-CoA ligase FadD5
MRA_0175	198221	199018	1	protein_coding	conserved hypothetical integral membrane protein YrbE1a
MRA_0176	199020	199889	1	protein_coding	conserved hypothetical integral membrane protein YrbE1b
MRA_0177	199894	201258	1	protein_coding	MCE-family protein Mce1A
MRA_0178	201255	202295	1	protein_coding	MCE-family protein Mce1B
MRA_0179	202292	203839	1	protein_coding	MCE-family protein Mce1C
MRA_0180	203836	205428	1	protein_coding	MCE-family protein Mce1D
MRA_0181	205425	206597	1	protein_coding	MCE-family lipoprotein LprK
MRA_0182	206591	208138	1	protein_coding	MCE-family protein Mce1F
MRA_0183	208174	208815	1	protein_coding	putative conserved Mce associated membrane protein
MRA_0184	208818	209780	1	protein_coding	putative conserved Mce associated transmembrane protein
MRA_0185	209777	210331	1	protein_coding	putative conserved Mce associated protein
MRA_0186	210298	211032	1	protein_coding	putative conserved Mce associated membrane protein
MRA_0187	211063	212172	-1	protein_coding	putative lipoprotein LprO
MRA_0188	212252	213610	-1	protein_coding	putative conserved transmembrane protein
MRA_0189	213637	214371	-1	protein_coding	hypothetical protein
MRA_0190	214388	215500	-1	protein_coding	RNA polymerase sigma-70 factor
MRA_0191	215448	216287	1	protein_coding	putative lysophospholipase
MRA_0192	216329	217078	1	protein_coding	hypothetical protein
MRA_0193	217075	217584	1	protein_coding	hypothetical protein
MRA_0194	217629	219704	1	protein_coding	putative beta-glucosidase
MRA_0195	220065	220727	1	protein_coding	O-methyltransferase
MRA_0196	220846	221277	1	protein_coding	putative conserved transmembrane protein
MRA_0197	221356	223083	-1	protein_coding	dihydroxy-acid dehydratase
MRA_0198	223231	223521	1	protein_coding	hypothetical protein
MRA_0199	223649	224890	1	protein_coding	putative conserved integral membrane protein
MRA_0200	224924	226024	1	protein_coding	hypothetical protein
MRA_0201	226084	227931	-1	protein_coding	hypothetical protein
MRA_0202	228238	231822	1	protein_coding	drugs ABC transporter ATP-binding protein
MRA_0203	232259	232894	1	protein_coding	LuxR family transcriptional regulator
MRA_0204	233007	233591	1	protein_coding	putative transcriptional regulatory protein
MRA_0205	233591	235837	1	protein_coding	putative oxidoreductase
MRA_0206	235878	237869	-1	protein_coding	putative zinc metalloprotease
MRA_0207	237912	238571	1	protein_coding	putative conserved membrane protein
MRA_0208	238568	239257	1	protein_coding	putative conserved transmembrane protein
MRA_0209	239254	239757	-1	protein_coding	hypothetical protein
MRA_0210	239754	242654	-1	protein_coding	membrane protein MmpL11
MRA_0211	242876	243286	1	protein_coding	putative exported protein
MRA_0212	243338	244621	-1	protein_coding	putative conserved transmembrane protein
MRA_0213	244746	245849	1	protein_coding	putative conserved transmembrane protein
MRA_0214	245846	248680	-1	protein_coding	putative conserved transmembrane transport protein MmpL3
MRA_0215	248746	249474	-1	protein_coding	hypothetical protein
MRA_0216	249477	250268	-1	protein_coding	tRNA (guanine-N7)-methyltransferase TrmB
MRA_0217	250400	251485	1	protein_coding	hypothetical protein
MRA_0218	251482	252960	1	protein_coding	hypothetical protein
MRA_0219	253144	254964	1	protein_coding	phosphoenolpyruvate carboxykinase (GTP)
MRA_0220	255031	256002	-1	protein_coding	putative transcriptional regulatory protein NadR
MRA_0221	255999	257312	-1	protein_coding	putative methyltransferase
MRA_0222	257426	259039	1	protein_coding	fatty-acid-CoA ligase FadD4
MRA_0223	259145	260218	-1	protein_coding	acyl-CoA dehydrogenase FadE3
MRA_0224	260275	261288	1	protein_coding	hypothetical protein
MRA_0225	261285	262193	-1	protein_coding	putative esterase LipW
MRA_0226	262286	263614	1	protein_coding	putative conserved transmembrane protein
MRA_0227	263616	264164	1	protein_coding	putative conserved transmembrane protein
MRA_0228	264174	265385	1	protein_coding	esterase LipC
MRA_0229	265429	266838	1	protein_coding	hypothetical protein
MRA_0230	266869	267657	1	protein_coding	enoyl-CoA hydratase EchA1
MRA_0231	267663	269126	-1	protein_coding	aldehyde dehydrogenase
MRA_0232	269225	269989	-1	protein_coding	putative methyltransferase
MRA_0233	270025	271179	1	protein_coding	glycosyltransferase
MRA_0234	271196	272926	-1	protein_coding	putative conserved transmembrane protein
MRA_0235	272936	274201	-1	protein_coding	putative conserved membrane protein
MRA_0236	274417	275640	1	protein_coding	putative integral membrane acyltransferase
MRA_0237	275668	276348	-1	protein_coding	putative conserved membrane protein
MRA_0238	276345	277325	-1	protein_coding	phosphotriesterase
MRA_0239	277420	279126	1	protein_coding	acyl-CoA dehydrogenase FadE4
MRA_0240	279261	279950	1	protein_coding	TetR/AcrR-family transcriptional regulator
MRA_0241	279947	280891	1	protein_coding	ribonucleoside-diphosphate reductase subunit beta NrdB
MRA_0242	280967	282502	-1	protein_coding	succinic semialdehyde dehydrogenase
MRA_0243	282528	283976	-1	protein_coding	putative conserved transmembrane protein
MRA_0244	284011	288213	-1	protein_coding	putative conserved transmembrane protein
MRA_0245	288260	288433	-1	protein_coding	small secreted protein
MRA_0246	288548	289714	1	protein_coding	putative conserved lipoprotein LpqI
MRA_0247	289790	290404	1	protein_coding	TetR-family transcriptional regulator
MRA_0248	290466	290699	1	protein_coding	hypothetical protein
MRA_0249	290707	291144	1	protein_coding	hypothetical protein
MRA_0250	291174	292016	-1	protein_coding	conserved hypothetical protein
MRA_0251	292027	293391	-1	protein_coding	3-ketoacyl-(acyl-carrier-protein) reductase
MRA_0252	293533	294855	1	protein_coding	acetyl-CoA acetyltransferase FadA2
MRA_0253	295160	296995	-1	protein_coding	acyl-CoA dehydrogenase FadE5
MRA_0254	297367	297855	1	protein_coding	putative oxidoreductase
MRA_0255	298171	299481	1	protein_coding	putative conserved integral membrane protein
MRA_0256	299478	300224	-1	protein_coding	succinate dehydrogenase
MRA_0257	300225	302165	-1	protein_coding	succinate dehydrogenase
MRA_0258	302196	303017	-1	protein_coding	putative succinate dehydrogenase
MRA_0259	303097	303390	-1	protein_coding	hypothetical protein
MRA_0260	303535	304014	-1	protein_coding	Heat shock protein Hsp
MRA_0261	304228	306789	1	protein_coding	NAD(P)H-dependent nitrite reductase large subunit
MRA_0262	306815	307171	1	protein_coding	putative nitrite reductase
MRA_0263	307187	307711	-1	protein_coding	cobinamide kinase/cobinamide phosphate guanylyltransferase
MRA_0264	307736	309220	-1	protein_coding	cobyric acid synthase
MRA_0265	309239	310801	-1	protein_coding	PPE family protein
MRA_0265A	311061	311435	1	protein_coding	hypothetical protein
MRA_0266	311656	312111	-1	protein_coding	hypothetical protein
MRA_0267	312136	312879	-1	protein_coding	conserved hypothetical protein
MRA_0268	312876	314021	-1	protein_coding	uroporphyrinogen-III synthetase
MRA_0269	314121	315530	-1	protein_coding	integral membrane nitrite extrusion protein NarK3
MRA_0270	315671	316216	-1	protein_coding	aminoglycoside 2-N-acetyltransferase
MRA_0271	316226	317128	-1	protein_coding	conserved hypothetical protein
MRA_0272	317145	317777	-1	protein_coding	hypothetical protein
MRA_0273	317873	318865	-1	protein_coding	iron ABC transporter substrate-binding protein
MRA_0274	318887	322516	-1	protein_coding	putative 5-oxoprolinase OplA
MRA_0275	322693	324084	1	protein_coding	integral membrane nitrite extrusion protein NarU
MRA_0276	324126	324635	-1	protein_coding	hypothetical protein
MRA_0277	324700	325893	-1	protein_coding	hypothetical protein
MRA_0278	325929	327611	1	protein_coding	fatty-acid-CoA ligase FadD2
MRA_0279	327628	329823	-1	protein_coding	acyl-CoA dehydrogenase FadE6
MRA_0280	329937	331070	-1	protein_coding	hypothetical protein
MRA_0281	331067	331687	-1	protein_coding	putative transcriptional regulatory protein
MRA_0282	331784	332365	1	protein_coding	hypothetical protein
MRA_0283	332295	333020	-1	protein_coding	putative marr-family transcriptional regulatory protein
MRA_0284	333110	334030	1	protein_coding	hypothetical protein
MRA_0285	334070	334498	-1	protein_coding	hypothetical protein
MRA_0286	334522	334704	-1	protein_coding	hypothetical protein
MRA_0287	334799	337672	-1	protein_coding	PE-PGRS family protein
MRA_0288	337922	340435	-1	protein_coding	PE-PGRS family protein
MRA_0289	340726	342336	1	protein_coding	PPE family protein
MRA_0290	342360	343268	1	protein_coding	hypothetical protein
MRA_0291	343492	345387	1	protein_coding	hypothetical protein
MRA_0292	345384	347000	1	protein_coding	putative conserved membrane protein
MRA_0293	346997	350989	1	protein_coding	putative conserved membrane protein
MRA_0294	350986	351294	1	protein_coding	PE family protein
MRA_0295	351345	352838	1	protein_coding	PPE family protein
MRA_0296	352887	353180	1	protein_coding	PE family protein
MRA_0297	353210	353500	1	protein_coding	antigen Esxh
MRA_0298	353511	354398	1	protein_coding	hypothetical protein
MRA_0299	354445	355863	1	protein_coding	putative conserved transmembrane protein
MRA_0300	355860	357245	1	protein_coding	putative membrane-anchored mycosin MycP3
MRA_0301	357242	358237	1	protein_coding	putative conserved transmembrane protein
MRA_0302	358224	359426	-1	protein_coding	hypothetical protein
MRA_0303	359533	360318	1	protein_coding	trans-aconitate methyltransferase
MRA_0304	360307	361110	-1	protein_coding	hypothetical protein
MRA_0305	361120	362517	-1	protein_coding	putative sulfatase
MRA_0306	362696	364471	1	protein_coding	PE-PGRS family protein
MRA_0307	364614	364841	1	protein_coding	conserved hypothetical protein
MRA_0308	364838	365140	1	protein_coding	hypothetical protein
MRA_0309	365188	365409	1	protein_coding	hypothetical protein
MRA_0310	365406	365831	1	protein_coding	hypothetical protein
MRA_0311	365967	366599	1	protein_coding	TetR/AcrR-family transcriptional regulator
MRA_0312	366596	367504	1	protein_coding	putative short-chain type dehydrogenase/reductase
MRA_0313	367512	374633	-1	protein_coding	PPE family protein
MRA_0314	374182	377073	-1	protein_coding	PPE family protein
MRA_0315	377276	377947	1	protein_coding	putative oxidoreductase
MRA_0316	377935	378417	-1	protein_coding	hypothetical protein
MRA_0317	378475	379191	1	protein_coding	putative conserved integral membrane protein
MRA_0318	379293	379949	1	protein_coding	putative conserved exported protein
MRA_0319	380019	380510	-1	protein_coding	conserved hypothetical protein
MRA_0320	380534	381763	1	protein_coding	hypothetical protein
MRA_0321	381918	383780	1	protein_coding	conserved hypothetical proline and threonine rich protein
MRA_0322	383852	384238	1	protein_coding	hypothetical protein
MRA_0323	384241	384903	-1	protein_coding	putative conserved membrane protein
MRA_0324	384964	385848	1	protein_coding	putative beta-glucanase
MRA_0325	385897	386511	1	protein_coding	putative muconolactone isomerase
MRA_0326	386535	387305	-1	protein_coding	putative glycerophosphoryl diester phosphodiesterase
MRA_t04	387566	387636	-1	tRNA	-
MRA_0327	387667	388461	-1	protein_coding	hypothetical protein
MRA_0328	388510	389178	1	protein_coding	pyrrolidone-carboxylate peptidase
MRA_0329	389250	389912	1	protein_coding	putative conserved exported protein
MRA_0330	389944	390516	1	protein_coding	deoxycytidine triphosphate deaminase
MRA_0331	390622	391953	1	protein_coding	UDP-glucose 6-dehydrogenase
MRA_0332	391942	392613	-1	protein_coding	hypothetical protein
MRA_0333	392714	393394	1	protein_coding	ArsR family transcriptional regulator
MRA_0334	393401	393625	1	protein_coding	hypothetical protein
MRA_0335	393635	394090	1	protein_coding	hypothetical protein
MRA_0336	394058	395407	-1	protein_coding	putative cytochrome p450 135A1 Cyp135A1
MRA_0337	395473	396075	1	protein_coding	TetR/AcrR-family transcriptional regulator
MRA_0338	396056	396682	-1	protein_coding	conserved hypothetical protein
MRA_0339	396709	397449	-1	protein_coding	hypothetical protein
MRA_0340	397563	398729	1	protein_coding	putative phage tail component protein
MRA_0341	398804	399589	1	protein_coding	hypothetical protein
MRA_0342	399616	399990	1	protein_coding	hypothetical protein
MRA_0343	400020	400886	1	protein_coding	glucose-1-phosphate thymidylyltransferase
MRA_0344	400897	401412	-1	protein_coding	PE family protein
MRA_0345	401554	403065	1	protein_coding	conserved 13E12 repeat family protein
MRA_0346	403235	404524	-1	protein_coding	aspartate aminotransferase AspC
MRA_0347	404555	407203	-1	protein_coding	putative iron-sulfur-binding reductase
MRA_0348	407312	409810	-1	protein_coding	LuxR family transcriptional regulator
MRA_0349	409996	410535	1	protein_coding	hypothetical protein
MRA_0350	410724	412163	1	protein_coding	isoniazid inductible gene protein IniB
MRA_0351	412200	414122	1	protein_coding	isoniazid inductible gene protein IniA
MRA_0352	414119	415600	1	protein_coding	isoniazid inductible gene protein IniC
MRA_0353	415743	416303	-1	protein_coding	putative lipoprotein LpqJ
MRA_0354	416412	416822	1	protein_coding	hypothetical protein
MRA_0355	416864	418327	-1	protein_coding	L-asparagine permease
MRA_0356	418666	419652	1	protein_coding	putative conserved membrane protein
MRA_0357	419655	420308	1	protein_coding	putative transcriptional regulatory protein
MRA_0358	420311	420970	1	protein_coding	hypothetical protein
MRA_0359	421197	423074	1	protein_coding	molecular chaperone DnaK
MRA_0360	423071	423778	1	protein_coding	putative GrpE protein
MRA_0361	423814	425001	1	protein_coding	chaperone protein DnaJ1
MRA_0362	425001	425381	1	protein_coding	heat shock protein transcriptional repressor HspR
MRA_0363	425506	426063	-1	protein_coding	PPE family protein
MRA_0364	426140	436042	-1	protein_coding	PPE family protein
MRA_0365	436193	436837	-1	protein_coding	hypothetical protein
MRA_0366	436834	438132	-1	protein_coding	adenylosuccinate synthetase
MRA_0367	438223	438870	1	protein_coding	hypothetical protein
MRA_0368	438881	439660	1	protein_coding	putative conserved integral membrane protein
MRA_0369	439665	440102	-1	protein_coding	hypothetical protein
MRA_0370	440185	441012	1	protein_coding	hypothetical protein
MRA_0371	441234	442616	1	protein_coding	Mg2+ transport transmembrane protein MgtE
MRA_0372	442628	443662	-1	protein_coding	fructose-bisphosphate aldolase Fba
MRA_0373	443758	444441	1	protein_coding	putative conserved transmembrane protein
MRA_0374	444430	445560	-1	protein_coding	conserved hypothetical protein
MRA_0375	445585	446178	-1	protein_coding	hypothetical protein
MRA_0376	446189	446617	1	protein_coding	hypothetical protein
MRA_0377	446677	447888	-1	protein_coding	hypothetical protein
MRA_0378	447894	448409	-1	protein_coding	putative membrane oxidoreductase
MRA_0379	448510	449406	-1	protein_coding	putative oxidoreductase
MRA_0380	449403	449996	-1	protein_coding	hypothetical protein
MRA_0381	449993	450748	-1	protein_coding	hypothetical protein
MRA_0382	450767	453166	-1	protein_coding	putative carbon monoxide dehydrogenase large subunit
MRA_0383	453163	453642	-1	protein_coding	putative carbon monoxide dehydrogenase small subunit
MRA_0384	453657	454517	-1	protein_coding	putative carbon monoxide dehydrogenase medium subunit
MRA_0385	454593	455735	-1	protein_coding	hypothetical protein
MRA_0386	455784	456749	1	protein_coding	LysR-family transcriptional regulator
MRA_0386A	457000	457221	1	protein_coding	conserved hypothetical protein
MRA_0387	457340	457555	1	protein_coding	putative protein transport protein SecE2
MRA_0388	457631	458293	-1	protein_coding	RNA methyltransferase
MRA_0389	458278	459186	-1	protein_coding	hypothetical protein
MRA_0390	459204	459743	-1	protein_coding	orotate phosphoribosyltransferase
MRA_0391	459824	460678	-1	protein_coding	putative conserved secreted protein
MRA_0392	460764	463310	-1	protein_coding	ATP-dependent Clp protease ATP-binding subunit ClpB
MRA_0393	463443	464615	1	protein_coding	hypothetical protein
MRA_0394	464719	467976	1	protein_coding	LuxR family transcriptional regulator
MRA_0395	467980	469311	-1	protein_coding	PPE family protein
MRA_0396	469645	470904	1	protein_coding	5'-phosphoribosylglycinamide transformylase
MRA_0397	470901	471323	1	protein_coding	hypothetical protein
MRA_0398	471320	472540	1	protein_coding	O-succinylhomoserine sulfhydrylase
MRA_0399	472537	473949	-1	protein_coding	membrane NADH dehydrogenase NdhA
MRA_0400	474091	475416	1	protein_coding	conserved 13E12 repeat family protein
MRA_0401	475432	476151	-1	protein_coding	putative secreted protein
MRA_0401A	476250	476654	1	protein_coding	hypothetical protein
MRA_0402	476660	477052	1	protein_coding	hypothetical protein
MRA_0403	477093	477563	-1	protein_coding	hypothetical protein
MRA_0404	477989	478630	-1	protein_coding	putative secreted protein
MRA_0405	478637	479866	-1	protein_coding	putative conserved lipoprotein LpqK
MRA_0406	479876	481063	-1	protein_coding	putative glutaryl-CoA dehydrogenase
MRA_0407	481099	481470	1	protein_coding	putative conserved transmembrane protein
